delay_location|coordinates
ST CLAIR AND BTHURST|(43.6830782, -79.4182617)
KINGSTON AND BROOKSIDE|(43.6769251, -79.3041099)
QUEEN AND SRAUREN|(43.63974899999999, -79.4409306)
SPADINA AND WILCOX|(43.6527581, -79.398087)
QUEEN W AND UNIVERSITY|(43.644334, -79.4180164)
QUEEN AND CONNAGHT|(53.83762429999999, -8.9584481)
801 DUNDAS ST W|(43.6517776, -79.4080402)
1398 KINGSTON|(43.8391986, -79.0867756)
ST CLIR AND GLENHOLME|(43.6789873, -79.43863809999999)
BLOOR AND GRACE|(43.6702395, -79.3867779)
COLBORNE LODGE DRIVE A|(43.6460004, -79.4645822)
BATHURST AND LONDON|(43.893229, -79.4693962)
QUEEN AND WILSON PARK|(43.6394457, -79.44249429999999)
QUEEN AND BOSTON|(42.3600825, -71.0588801)
QUEEN FROM CARLAW TO B|(43.6701711, -79.3437927)
61 QUEEN ST E|(43.6528038, -79.3763417)
SPADINA STNB|(nan, nan)
145 QUEEN ST W|(43.6505876, -79.38553519999999)
COLLEGE STATION|(30.627977, -96.3344068)
QUEEN E AT WOODFIELD R|(43.665352, -79.321175)
RUSSLE DIVISION|(42.346847, -83.04090599999999)
QUEEN ST E AND WOODFIE|(43.6652797, -79.3212504)
QUEEN WEST AND SPADINA|(43.6487579, -79.396276)
LAWRENCE E AND WARDEN|(43.74539100000001, -79.29476149999999)
BROADVIEW AND DUNDAS S|(43.6624664, -79.351366)
BATHURST AND QUEEN ST|(43.6471969, -79.4039809)
RUSSLE DIV|(nan, nan)
66 HOWARD PARK AVE|(43.6516354, -79.450948)
YORK UNIVERSITY|(43.7734535, -79.50186839999999)
KING AND BATURST|(43.64390350000001, -79.4026703)
SPADINA AND GLEN MORRI|(43.6638864, -79.40231059999999)
PARKSIDE DR|(43.6466452, -79.4569594)
592 KINGSTON RD|(43.67868379999999, -79.2999206)
178 MAIN STREET|(43.6842427, -79.30021049999999)
DUFFERIN AND LAWRENCE|(43.7139239, -79.4575079)
CARLTON AND BAY|(nan, nan)
DUNDAS YONGE|(43.6560811, -79.3801714)
COXWELL AND DUNDAS ( N|(43.6686999, -79.3175392)
CANNIFF AND STRACHAN|(43.6414631, -79.4117444)
KIING AND JARVIS|(nan, nan)
BLOOR AND DUNDAS|(43.6426178, -79.53223059999999)
SUNNYSIDE STATION|(43.6387296, -79.4460058)
WARDEN AND FAIRFAX|(43.7161789, -79.28283569999999)
QUEEN AND O'CONNOR|(nan, nan)
GERRARD AND BAY|(43.6584927, -79.3848544)
EDNA AVE AND DUNDAS WE|(43.657274, -79.4526928)
EDNA AVE (DUNDAS W STN|(43.6568197, -79.4548738)
UNKNOWN LOCATION|(nan, nan)
RUSSEL TRAILER TRACK|(nan, nan)
BAY TO PARLIAMENT|(nan, nan)
LAKESHORE AND 15TH STR|(43.5988668, -79.51394669999999)
RONCESSVALLES YARD|(43.6463098, -79.4490457)
130 ARROW RD|(43.7447416, -79.5320668)
1758 DUNDAS ST W|(43.650307, -79.4401546)
JARVIS AND WELLESLEY|(43.6662843, -79.37833309999999)
QUEEN AND JAMESON (E O|(43.6403624, -79.43859599999999)
QUEENSWAY AND WINDMERE|(43.6373075, -79.47000729999999)
LAKESHORE AND LOUSIA|(nan, nan)
RICHMOND AND BAY|(43.6511725, -79.3813012)
COLLEGE FROM BATHURST|(-33.4111857, 149.578693)
SPADINA STATION TO QUE|(43.6671711, -79.40435339999999)
QUEEN ANSD EMPIRE|(nan, nan)
DANFORTH AND VICTORIA|(43.690288, -79.2931061)
WILSON STATION|(43.7346861, -79.4509411)
COLLEGE AND W OF QUEEN|(nan, nan)
EXIBITON LOOP|(43.6362392, -79.4155857)
UNIVERSITY AND N OF RI|(41.5800945, -71.4774291)
KINSTON R LOOP|(35.2626635, -77.5816353)
SHERBOURNE AND WELLESL|(43.6670726, -79.3746546)
BROADVIW AND THOMPSON|(43.6729037, -79.3557688)
DUNDAS WEST STATION (|(43.6568393, -79.45333409999999)
ST CLAIR - ENTIRE ROUT|(nan, nan)
LAKESHORE AND 27TH|(43.59644120000001, -79.5249365)
GERRARD AND RIVER ST|(43.6636944, -79.35923129999999)
QUEEN AND MARKHAM|(43.6469542, -79.4052033)
KING AND GEORGE TO FRE|(nan, nan)
CHURCH AND RICHMOND|(nan, nan)
BROADVIEW TO DUFFERIN|(44.0527524, -80.1875065)
DUNDAS AND ELIZIBETH|(43.5106999, -79.6946094)
QUEEN AND YONGE TO BAT|(43.6524128, -79.3792588)
BROADVIEW AND FAIRVIEW|(43.6729037, -79.3557688)
160 YORK ST|(43.6498015, -79.384641)
1066 BLOOE ST W|(43.6604364, -79.4331869)
QUEENS QUAY AT REES ST|(43.6389238, -79.3866116)
WELLESLEY AND JARVIS|(43.6662843, -79.37833309999999)
VICTORIA PARK STATION|(43.6945281, -79.28869399999999)
DUNDAS W AND BLOOR|(43.6426178, -79.53223059999999)
BINGHMAM LOOP|(43.681553, -79.284714)
KINGSTON AND HANNIFORD|(43.6802274, -79.2912833)
EXHIBITION LOOP - SPAR|(43.6362392, -79.4155857)
ST CLAIR AND LAWSON|(43.6770883, -79.4465923)
ENITRE ROUTE|(nan, nan)
YONGE AND CARLTON|(43.6613798, -79.383101)
LAKE SHORE AND ROYAL Y|(43.6328215, -79.4363268)
KINGSTON AND MAIN|(nan, nan)
LAKESHORE AND FIFTEENT|(43.5988668, -79.51394669999999)
SPADINA CIRCLE (N OF C|(43.6596724, -79.400621)
QUEEN AND ELMER (EAST|(nan, nan)
SPADINA SULLIVAN|(43.6527581, -79.398087)
STRACHAN AND CANIFF ST|(43.6414631, -79.4117444)
RUSSELL YARD - TRAILER|(nan, nan)
FLEET LOOP- OUTSIDE LO|(nan, nan)
QUEEN AND CHUCH (EAST|(43.4485172, -80.4901945)
PARLIAMENT AND N OF AD|(nan, nan)
BAY AND RICHMOND|(43.6511725, -79.3813012)
GLADSTONE AND COLLEGE|(nan, nan)
SPADINA NORTH OF ADELA|(43.6527581, -79.398087)
MCCAUL|(nan, nan)
2355 DUNDAS ST WEST|(43.6571491, -79.4527975)
EGLINTON DIVISION|(43.7248331, -79.3051082)
SHUTER AND PARLIAMENT|(43.6569387, -79.3649915)
QUEEN ST AND UNIVERSIT|(43.6508639, -79.3864337)
COLLEGE AND BATHRUST|(43.65418, -79.4071017)
SPINGHURST LOOP|(43.6338376, -79.430928)
EXHIBITION STREETCAR L|(43.6358813, -79.4187599)
DUNDAS AND GEORGE|(43.6573162, -79.3734619)
GERRARD ST BROADVIEW|(43.6708856, -79.3280752)
THE QUEENSWAY AND RONE|(43.6253329, -79.5072058)
QUEEN ST WEST AND AUGU|(43.644334, -79.4180164)
675 BROADVIEW AVE|(43.6744376, -79.3568773)
509 DUNDAS S W|(43.46530000000001, -79.74513)
LAKESHORE BLVD AND PAR|(43.5967438, -79.5011376)
PARLIAMENT AND ADELAI|(43.653568, -79.3635754)
WELLESLEY AND CHURCH|(43.6673449, -79.3816264)
20 QUEEN ST W|(43.6524808, -79.3804814)
BROADVIEW STN TO HIGH|(43.6769104, -79.3581849)
QUEEN ADN OSSINGTON|(43.644171, -79.4188508)
RONCEESVALLES AND QUEE|(43.644334, -79.4180164)
KINGSTON AND WAVERLY|(43.6770198, -79.3038681)
FRONT AND MILL|(nan, nan)
KING AND JAMISON|(43.637178, -79.436008)
KING AND WILSION|(nan, nan)
YONGE AND WOOD|(43.6620286, -79.383353)
THE QUEENSWAY AND SUNN|(43.6253329, -79.5072058)
QUEENS AND LESLIE|(nan, nan)
ADELAIDE AND PARLIAMEN|(43.653568, -79.3635754)
ADELAIDE AND UNIVERSIT|(-34.9284989, 138.6007456)
THORHCLIFFE AND OVERLE|(43.7074985, -79.3436414)
LANSDOWNE BETWEEN COLL|(nan, nan)
QUEEN AND VICTORIA PAR|(43.7487756, -79.3121024)
DUNBDAS AND BAY|(43.6557389, -79.38374019999999)
DUFFERIN AND NORTH YOR|(43.837853, -79.4819486)
FRONT AND TRINITY|(nan, nan)
WOLESELY LOOP|(nan, nan)
QUEENSWAY AND LOUISA|(43.6253329, -79.5072058)
PARLIAMENT AND BATHURS|(43.893229, -79.4693962)
ADELAIDE AND CHARLOTTE|(-34.9284989, 138.6007456)
GREENWOOD AND NEVILLE|(nan, nan)
KING AND TECUSMETH|(43.6433939, -79.4052578)
BROADVIEW AND GERRAD|(43.6654831, -79.35263359999999)
BROADVIEW STATION - HI|(43.6769104, -79.3581849)
BATHURST STN TO EXHIBI|(43.6358813, -79.4187599)
47 EASTERN AVE|(43.6530122, -79.35927319999999)
6576 QUEEN ST WEST|(43.650989, -79.386228)
LAKESHORE AND TWENTY T|(43.5977217, -79.5191342)
QUEEN AND PALMERSON|(43.6466822, -79.4065344)
EXHIBITION LOOP TO BAT|(43.6362392, -79.4155857)
COLLEGE AND RUSHMORE|(nan, nan)
1631 QUEEN ST E|(43.666331, -79.31573089999999)
RONCESVALLED YARD|(43.6463098, -79.4490457)
NORTH OF BATHURST STN|(43.6660011, -79.4112152)
3683 LAKE SHORE BLVD W|(43.5933577, -79.537702)
SPADINA AND QUEEN W|(43.6487579, -79.396276)
1439 KING ST WEST|(43.6367164, -79.4370185)
CHURCH AND ADELAIDE|(43.651172, -79.374922)
DUFFERIN AND GORDON|(43.837853, -79.4819486)
RONCESVALLES YARD - 13|(43.63919629999999, -79.4462767)
YONGE AND GROSVENOR|(43.6630332, -79.38378080000001)
CNE LOOP TO BATHURST S|(nan, nan)
YORK AND PEARL|(nan, nan)
KING AND QUEENSWAY|(43.6387919, -79.4461334)
SPIDAINA AND QUEENS QU|(43.6382515, -79.3895182)
DUNDAS E AND BROADVIEW|(43.6624664, -79.351366)
PARLAIMENT AND QUEEN|(43.6549833, -79.36390279999999)
757 BROADVIEW AVE|(43.67605959999999, -79.3585408)
6058 PEARL ST|(43.6481804, -79.3848684)
BROADVIEW AND DUNDAS E|(43.6624664, -79.351366)
390 DUFFERIN ST|(43.6431011, -79.4290598)
2081 LAKE SHORE BLVD W|(43.630289, -79.476575)
ST CLAIR WEST AND LANS|(43.6770883, -79.4465923)
OSSINGTON STATION|(43.6623565, -79.4263675)
ST.CLAIR AND GUNNS|(43.6718533, -79.4711359)
COLLEGE AND BROADVIEW|(43.6729037, -79.3557688)
LAKESHORE BLVD WEST AN|(43.6328215, -79.4363268)
PARLIAMENT AND RICHMOU|(nan, nan)
PARLIAMENT AND RICHMON|(37.5407246, -77.4360481)
21 RICHMOND ST E|(43.6518361, -79.3774937)
RIVALDA AND SHEPPARD|(43.7347296, -79.53398940000001)
LAKESHORE AND YACHTERS|(43.6200587, -79.48476029999999)
DUFFERIN AND THORBURN|(43.6355901, -79.4260776)
GERRARD AND ENDERBY|(43.6836788, -79.30151359999999)
ST. CLAIR WEST AND GUN|(43.6770883, -79.4465923)
QUEEN STREET AND SHERB|(43.6637879, -79.3278595)
WINDIMERE AND QUEENSWA|(43.6373075, -79.47000729999999)
LAKESHORE BL. AND MARI|(nan, nan)
ST.CLAIR WEST AND DUNV|(43.6770883, -79.4465923)
WINDEMER AND LAKESHORE|(43.6352044, -79.4681797)
1448 QUEEN ST W|(43.6408369, -79.436027)
ST CLAIR W AND KEELE|(43.672473, -79.4675352)
LAKESHORE AND WINDEREM|(43.6352044, -79.4681797)
DUNDAS S OF BLOOR|(43.598447, -79.61245799999999)
QUEEN AND NOBLE|(nan, nan)
GUNNS LOOP TO ST. CLAI|(43.671913, -79.47184)
QUEENS QUAY AMD LOWER|(43.6382515, -79.3895182)
71 B LIBERTY|(43.6384011, -79.4146176)
DUNDAS WEST AND BATHUR|(43.6522958, -79.4060126)
DANFORTH AVE AND EATON|(43.6793262, -79.34308469999999)
PAPE AND DANFORTH|(43.6785954, -79.3445022)
SPADINA AND ADELADE|(43.6467659, -79.3954519)
BATHURST STATIONS|(43.6660011, -79.4112152)
DOURO AND STRACHAN|(43.6407639, -79.41146169999999)
QUEEN BETWEEN SPADINA|(43.6527581, -79.398087)
GERRAD AND PARLIAMENT|(43.66194780000001, -79.36702509999999)
1116 LESLIE ST|(43.7183105, -79.3505047)
CALTON AND YONGE|(43.6613798, -79.383101)
YORK AND BAY|(nan, nan)
ST.CLAIR AND VAUGHAN R|(43.6827095, -79.4200063)
COLLEGE AND ST.GEORGE|(nan, nan)
LAKESHORE BLVD. AND HI|(nan, nan)
LANDSDOWN LOOP|(43.7055358, -79.4608288)
WINDMERE AND QUEENSWAY|(43.6373075, -79.47000729999999)
YONGE AND ALEXANDER|(43.6628957, -79.3837219)
OSSINGTON TO CASTLE FR|(43.6595215, -79.4246695)
ST.CLAIR AND RUSSELL H|(43.6770883, -79.4465923)
LANDOWNE AND COLLEGE|(nan, nan)
ST CLAIR W AND ARLINGT|(43.6809683, -79.42883669999999)
DUFFERIN AND BRIXTON W|(43.64462169999999, -79.429527)
PARKSIDE AND HIGH PARK|(43.6448762, -79.45623499999999)
KING AND BLOOR|(43.6472532, -79.3866709)
GERRARD AND GLENSIDE|(43.671376, -79.3259273)
611 DUFFERIN|(43.6491272, -79.4310926)
BLOOR AND GLENDONWYNNE|(43.65163099999999, -79.4740221)
JANE STATION|(43.6500102, -79.4837178)
DUNDAS AND SOURAREN|(43.6512012, -79.4452851)
NORTH HUMBERLAND AND O|(43.733773, -79.5530792)
ST CLAIR WEST AND AVEN|(43.6770883, -79.4465923)
LAKE SHORE BLVD WEST A|(43.6328215, -79.4363268)
QUEEN AND CAMERON|(43.6485405, -79.3974059)
DUNDAS AND BOND|(43.6562464, -79.3782928)
106 ADELAIDE|(43.6512684, -79.3751044)
PARKSIDE AND ALGONQUIN|(43.6431556, -79.4555281)
THE QUEENSAT AND RONCE|(nan, nan)
CNE LOOP - 100 MANITOB|(53.7608608, -98.81387629999999)
QUEEN AND OSSINGTION|(43.644171, -79.4188508)
PEEL AND GLADSTONE|(43.6440954, -79.427692)
QUEENS AND GLADSTONE|(43.6425333, -79.4271162)
650 KING ST W|(43.6442315, -79.4018613)
KINGSTON AND BEECH|(43.6802579, -79.290703)
GLADSTONE AND PEEL|(43.6440954, -79.427692)
ST CLAIR AND WINNONA|(43.680195, -79.4324721)
PARKSIDE AND QUEENSWAY|(43.6253329, -79.5072058)
LANSDOWNE LOOP - 305 L|(43.6508533, -79.4397623)
KING, E OF SPADINA|(43.6527581, -79.398087)
LANDSDOWNE AND DUNDAS|(43.6501696, -79.43974519999999)
BROADVIEW STAION|(43.6769104, -79.3581849)
21 PEEL ST|(43.8793967, -78.9380165)
KING AND CLOSE|(nan, nan)
BATHUST AND FLEET|(43.6367945, -79.3998864)
CNE TO BROADVIEW|(nan, nan)
YONGE AND WELLESLEY|(43.664929, -79.3845625)
DUFFERIN AND GLENCAIRN|(43.7070229, -79.4532195)
PARKSIDE AND THE QUEEN|(nan, nan)
431 QUEEN ST W|(43.6487819, -79.3956149)
35 MCCAUL ST|(43.651498, -79.3898825)
STEELES AND MARTIN GRO|(43.7578426, -79.6032839)
YONGE AND FLORENCE|(43.9120105, -79.4467502)
QUEEN AND PARLIEMENT|(43.6549833, -79.36390279999999)
2365 DUNDAS ST W|(43.6569297, -79.4531164)
PARLIMANT S OF DUNDAS|(43.26650890000001, -79.9568685)
CNE LOOP - 509 LOADING|(nan, nan)
465 O CONNOR DR|(43.69708480000001, -79.3315605)
1492 DUFFERIN ST|(43.6734914, -79.4414591)
1357 QUEEN ST E|(43.6641691, -79.3254832)
QUEEN AND ONTATIRO|(43.584246, -79.719004)
EARLSCOURT LOOP - 1330|(43.6823026, -79.4495938)
ST CLAIR WEST AND NORT|(43.6770883, -79.4465923)
DUNDAS WEST AND OSSING|(43.6493394, -79.4207678)
BATHURST STATION TO CN|(43.6660011, -79.4112152)
DUFFERIN AND GLADSTONE|(43.837853, -79.4819486)
BROADVIEW STATION TO O|(43.6769104, -79.3581849)
HARBORD AND ST GEORGE|(43.6640895, -79.3984406)
LAKE SHORE AND SILVER|(43.6328215, -79.4363268)
OSSINGTON STATION TO C|(43.6623565, -79.4263675)
ST CLAIR|(nan, nan)
DUNDAS AND CARLYE|(43.6521109, -79.4047556)
COXWELL AND BATTENBERG|(43.6671669, -79.3169037)
25 DOVAL RD|(43.6570977, -79.45432509999999)
CASTLE FRANK TO OSSING|(43.6736269, -79.3688482)
DUNDAS AND BEAVERLEY|(43.6538153, -79.39381809999999)
KING AND PORTLAND (JUS|(43.64465269999999, -79.4003826)
BROADVIEW STB|(nan, nan)
QUEEN AND JOHN ST|(43.6498656, -79.3910745)
QUEENS AND NEVILLE PAR|(nan, nan)
CASTLE FRANK AND BLOOR|(43.6737672, -79.3681993)
QUEEN AND DEGRASSI BRI|(nan, nan)
BASTION AND FLEET|(43.6359882, -79.40359269999999)
ST. CLAIR WEST AT KEEL|(43.672473, -79.4675352)
401 AND DUFFERIN|(43.6425059, -79.42858120000001)
DUFFERIN AND PEEL|(43.643801, -79.4292088)
DUNDAS AND MORROW (APP|(43.6519064, -79.4476012)
THE QUEENS WAY AND COL|(43.6253329, -79.5072058)
DUNDAS AND MC CAUL|(43.6543129, -79.39143779999999)
DUFFERIN AND QUEEN (NO|(43.642226, -79.4286137)
QUEEN AND BEACONSFIELD|(43.6429955, -79.4247666)
DUFFERIN AND SHANLY|(43.66296759999999, -79.4366538)
DUFFERIN AND DUFFERIN|(43.837853, -79.4819486)
DUNDAS WEST STATION (E|(43.6568393, -79.45333409999999)
433 QUEEN ST E|(43.6561137, -79.36067849999999)
639 QUEEN ST W|(43.6471373, -79.4033358)
QUEEN AND PARLIMENT|(43.6549833, -79.36390279999999)
CASTLEFRANK STATION|(43.6736269, -79.3688482)
BROADVIEW STATION TO D|(43.6769104, -79.3581849)
CARLTON AND BATHURST|(43.893229, -79.4693962)
QUEEN AND UNIVERSITY T|(43.6508639, -79.3864337)
FLEET AND YORK|(nan, nan)
RONCY YARD TRACK23|(nan, nan)
QUEEN - BATHURST TO PO|(43.6469738, -79.4041625)
219 DUNDAS ST E|(43.6575225, -79.3730403)
COLLEGE AND ST GEROGE|(nan, nan)
COLLEGE AND HAVELOCK S|(nan, nan)
DUFFERIN AND WATERLOO|(43.7544826, -79.4637284)
BROADVIEW AND WOLFEY|(43.6729037, -79.3557688)
KING AND BLUE JAYS|(43.6460368, -79.3923068)
COLLEGE AND SHERBOURNE|(43.661228, -79.3722185)
QUEEN AND KIPPENDAVIEE|(43.644334, -79.4180164)
SHERBOURNE AND GERRARD|(43.661228, -79.3722185)
LAKE SHORE AND 39 ST|(43.5928736, -79.5405972)
80 THE QUEENSWAY|(43.6374028, -79.46972079999999)
LAKESHORTE AND MIMICO|(43.6137022, -79.4893613)
DUNDAS AND RUSHHOLMN|(43.6494957, -79.4267637)
SUNDAS AND SPADINA|(43.6527581, -79.398087)
619 QUEEN ST W|(43.64728119999999, -79.40290790000002)
FORT YORK AND SPADINA|(43.6405651, -79.3928444)
BAY AND WELLINGTON|(43.6473313, -79.3797062)
DUFFERIN AND RISA BLVD|(43.7044956, -79.45261820000002)
DUNDAS AND|(43.5106999, -79.6946094)
KING AND BATHURST.|(43.64390350000001, -79.4026703)
DUNDAS WEST AND CHESNU|(43.6552403, -79.3860026)
GERRARD AND YONGE|(43.6590871, -79.3820928)
KINGSTON AND SOUTHWOOD|(43.6789004, -79.29801770000002)
SPADINA AND BLUE JAYS|(43.6413727, -79.3931776)
ST.CLAIR AND LANDSDOWN|(43.6763452, -79.4505978)
QUEENSWAY AND ELLIS AV|(43.6377122, -79.4663906)
OSSINGTON AND BLOOR|(43.6619827, -79.4256242)
DUFFERIN AND PEEL ( N|(43.643801, -79.4292088)
GERRARD AND SACKWELL|(43.66259729999999, -79.36402369999999)
LAKESHORE AND COLBORNE|(43.6488028, -79.3762478)
PARKSIDE AND SPRING|(nan, nan)
QUEEN AND VANAULEY (W|(43.6483383, -79.3983971)
FERRY DOCK TERMINAL|(43.6412202, -79.37717099999999)
QUEEN AND SHERBOUNE|(43.661228, -79.3722185)
QUEEN E AND NEVILLE PA|(40.5069633, -80.1121493)
EXHBITION LOOP|(43.6362392, -79.4155857)
400 DANFORTH RD|(43.7062244, -79.2696903)
BAHURST AND FORT YORK|(43.6388818, -79.40065550000001)
COXWELL AND ROBBINS|(43.6819241, -79.3229987)
8 RICHMOND STREET WEST|(43.6514865, -79.38040339999999)
VICTORIA PARK AND BING|(43.7487756, -79.3121024)
PARLIAMENT TO OSSINGTO|(43.6595215, -79.4246695)
QUEENS PARK STATION|(43.6598804, -79.3904768)
DUDAS WEST STATION|(43.6568393, -79.45333409999999)
BLOOR AND OAKMOUNT|(43.6541921, -79.46232429999999)
UNIVERSITY AND ADELAID|(43.6488852, -79.38546339999999)
OAKWOOD LOOP AT ST CLA|(43.6794987, -79.4358172)
PARLIMENT AND WELLSLEY|(43.668188, -79.3695534)
PARLIAMENT AND OSSINGT|(43.6595215, -79.4246695)
PARLIAMENT AND SHUTER|(43.6569387, -79.3649915)
QUEEN AND CRAWFORD|(43.6449569, -79.41504909999999)
LIBERTY AND KING WEST|(43.6377993, -79.4230558)
686 QUEEN STREET|(43.646592, -79.4079507)
LAKESHORE AND THIRTYSE|(nan, nan)
QUEENS PARK CIRCLE|(43.6603319, -79.390811)
QUEEN AND YONGE TO UNI|(55.378051, -3.435973)
CNE TO SPADINA|(43.6527581, -79.398087)
QUEEN AND NEVILL|(nan, nan)
OSSINGTON BLOOR|(43.6619827, -79.4256242)
UNIVERSITY AND ADELADE|(43.6488852, -79.38546339999999)
DUNDAS AND AGUSTA|(43.65226759999999, -79.4011044)
QUEEN AND JONESS|(43.6616246, -79.3383951)
DUFFERIN AND WENDERLY|(43.7107209, -79.4539937)
HARBORD AND GRACE|(43.6611509, -79.4115721)
DUFFERIN PEEL|(nan, nan)
RONCESSVALLES CARHOUSE|(43.6393154, -79.4466387)
340 KING ST E|(43.6531101, -79.36291810000002)
40 GEORGINA GATE|(43.7109606, -79.2839824)
CHURCH AND LOMBARD|(43.65181159999999, -79.3751881)
LAKESHORE AND LAKE|(nan, nan)
KINGSTON ROAD|(43.7619783, -79.1946749)
DUNDAS WEST AND DENISI|(43.5694532, -79.6289385)
PARLIMENT AND DUNDAS|(43.6594276, -79.36599559999999)
31 MANITOBA DR|(43.63641, -79.4141624)
615 DUNDAS ST E|(43.6603743, -79.3606726)
101 DUNDAS ST WEST|(43.6555463, -79.3838962)
LAKE SHORE AND MARINE|(43.630284, -79.4769342)
KING AND SPADINA TO EX|(43.64550450000001, -79.39492159999999)
PARLIMANT AND QUEEN|(43.6549833, -79.36390279999999)
DUNDAS AT BLOOR|(43.6426178, -79.53223059999999)
FLEET AND BUTHURST|(43.6367945, -79.3998864)
DUNDAS AND CAROLL|(43.6619187, -79.35390269999999)
COXWELL AND EASTWOOD|(43.6728909, -79.319268)
OLD WESTON AND ST CLAI|(43.6734439, -79.4629927)
PARLIAMENT AND BLOOR|(43.6720333, -79.370728)
GERRARD AND UNIVERSITY|(43.6583271, -79.3856712)
CARLTON - BAY AND PARL|(43.6633841, -79.3721451)
DUFFERIN AND FLORENCE|(43.837853, -79.4819486)
3044 DUFFERIN ST|(43.7129312, -79.4548398)
GENERAL DELAY -|(nan, nan)
SUNNYSIDE AND THE QUEE|(nan, nan)
HARBORD AND BRUNSWICK|(43.662264, -79.405996)
UPPER GERRARD AND GAIN|(43.6708856, -79.3280752)
1262 LAWRENCE AVE W|(43.7105567, -79.47184969999999)
QUEENS QUAY W AND HARB|(43.6400699, -79.38020019999999)
WELLINGOTN AND STRACHA|(43.6407639, -79.41146169999999)
PARLIAMENT AND ST JAME|(43.6702683, -79.3703912)
LAKESHORE AND TWENTHY|(43.5977217, -79.5191342)
BROADVIEW AND DANFORTR|(43.6762135, -79.3588475)
PARKSIDE AND LAKESHORE|(43.63836329999999, -79.45351579999999)
QUEENS QUAY WEST AND L|(43.6382515, -79.3895182)
DUNDAS - SHAW AND OSSI|(nan, nan)
BROCK AND QUEEN|(nan, nan)
KING AND STAFFORD|(43.6422906, -79.41071749999999)
LIBERTY AND ATLANTIC|(43.6383044, -79.4205388)
MANNING AND DUNDAS|(43.5106999, -79.6946094)
QUEENSWAY AND SPADINA|(43.6527581, -79.398087)
EXHIBITION (CNE) LOOP|(nan, nan)
OAKWOOD AND ST CLAIR L|(43.6794987, -79.4358172)
DUFFERIN TO EAST QUEEN|(44.0527524, -80.1875065)
QUEN AND GLADSTONE|(43.6425333, -79.4271162)
DUNDA WEST STATION|(43.6568393, -79.45333409999999)
BRADSTOCK AND WESTON|(43.73900099999999, -79.53944229999999)
PEARL AND YORK|(nan, nan)
436 DUFFERIN ST|(43.6437124, -79.429313)
LAKESHORE AND 37TH|(43.5934222, -79.5381821)
LAKESHORE AND 40 STREE|(43.5926131, -79.54177059999999)
QUEEN'S QUAY TERMINAL|(43.6389053, -79.38065639999999)
DUNDAS AND RONCESSVALL|(43.6538732, -79.451805)
ST CLAIR STATOIN|(43.6874845, -79.3930467)
1516 KING ST W|(43.6366482, -79.4411203)
DUNDAS AND PASHLER|(43.65992199999999, -79.3637375)
QUEEN AND DUFFEIN|(43.642226, -79.4286137)
SPADINA AND HARBOURD|(43.6630939, -79.4020097)
26A RONCESVALLES|(43.6396224, -79.4468808)
YORK AND KING ST WEST|(43.6479288, -79.38354919999999)
GLANDSTONE AND QUEEN|(43.6425333, -79.4271162)
YORK AND KING ST|(43.6479288, -79.38354919999999)
BAY AND CARLTON|(nan, nan)
QUEEN AND BROCK AVE|(43.6414803, -79.43233099999999)
DUNDAS AND UNIVERITY|(43.6548133, -79.3884774)
DUNDAS AND DENISION|(43.6520368, -79.4022396)
COLLEGE AND W OF LANSD|(nan, nan)
QUEENSQUAY AND HARBOUR|(43.6400699, -79.38020019999999)
QUEENSWAY AND GLADSTON|(43.6253329, -79.5072058)
KINGSTON RD AND KINGSW|(43.6806324, -79.2861096)
49 HOSKIN AVE|(43.6644268, -79.39690519999999)
LAKESHORE AND FOURTIET|(nan, nan)
410 DUFFERIN ST|(43.6442844, -79.42954139999999)
QUEEN AND CURZON|(nan, nan)
1501 DUNDAS ST W|(43.6495585, -79.43197579999999)
CNE PLATFORM|(nan, nan)
DUNDAS AND EDNA STREET|(43.657274, -79.4526928)
VICTORIA PARK AND DANF|(43.6912277, -79.28840249999999)
MAIN AND DANFOTH|(43.6882358, -79.2980694)
KIMHG AND BATHURST|(43.64390350000001, -79.4026703)
HARDBORD AND OSSINGTON|(43.6585691, -79.42429969999999)
ST CLAIR WEST AND VAUG|(43.6827095, -79.4200063)
LANDSDOWNE AND ST.CLAI|(43.6763452, -79.4505978)
LANSDOWNE LOOP AT COLL|(nan, nan)
197 HOWARD PARK AVE|(43.6502711, -79.4554105)
LAKESHORE BLVD AND THI|(nan, nan)
HOSKIN AND UNIVERSITY|(nan, nan)
QUEENS PARK|(43.6672424, -79.3935293)
GERRARD AND CHRUCH|(43.6598622, -79.3785154)
BROADVIEW AND SPARKHAL|(43.6712614, -79.3545108)
BROAAVIEW AND SPARKHAL|(43.6712614, -79.3545108)
QUEENS QUAY AND REES S|(43.6382515, -79.3895182)
UNION STREETCAR TUNNEL|(nan, nan)
100 KING ST W|(43.6485277, -79.38161529999999)
GEARRD AND LOGAN|(43.6708856, -79.3280752)
UNDAS AND ST PATRICK|(43.6544805, -79.3903151)
COLLEGE AND MAJOR (W O|(nan, nan)
930 DANFORTH|(43.6802998, -79.33862909999999)
DUNDAS FROM BATHURST T|(43.5106999, -79.6946094)
1138 DUNDAS ST W|(43.6494869, -79.42051339999999)
DUNDAS WEST AND BAY|(43.6557389, -79.38374019999999)
LAKESHORE BLVD AND FOR|(43.5967438, -79.5011376)
QUEEN AND SUMAC|(nan, nan)
PARLIAMENT, N OF QUEEN|(nan, nan)
